<ID|readonly|noverify>;<English>
weapons/fr_750lb_m117_cone_90;750 lb M117 cone 90 bomb
weapons/fr_750lb_m117_cone_45;750 lb M117 cone 45 bomb
weapons/fr_750lb_m117_cone_90/short;750 lb M117
weapons/fr_750lb_m117_cone_45/short;750 lb M117
weapons/us_750lb_m117_cone_45;750 lb M117 cone 45 bomb
weapons/us_750lb_m117_cone_45/short;750 lb M117
weapons/us_750lb_m117_cone_45_japan;750 lb JM117 cone 45 bomb
weapons/us_750lb_m117_cone_45_japan/short;750 lb JM117
weapons/fr_matra_t_10_121b;T10 121 rocket
weapons/fr_matra_t_10_121a;T10 121 rocket
weapons/fr_matra_t_10_140b;T10 140 rocket
weapons/fr_matra_t_10_140a;T10 140 rocket
weapons/fr_matra_t_10_151b;T10 151 rocket
weapons/fr_matra_t_10_151a;T10 151 rocket
weapons/fr_sneb_type23;SNEB type 23 rocket
weapons/fr_sneb_type23_expo;SNEB type 23 rocket
weapons/fr_sneb_type23_late;SNEB type 23 rocket
weapons/fr_sneb_type23_late/short;SNEB type 23
weapons/fr_sneb_type23_md_460;SNEB type 23 rocket
weapons/fr_sneb_type23_md_460/short;SNEB type 23
weapons/fr_sneb_type26;SNEB type 26 rocket
weapons/fr_sneb_type26/short;SNEB type 26
weapons/fr_50kg_gammn;50 kg G.A. MMN. 50
weapons/fr_50kg_dt2;50 kg D.T. No.2
weapons/fr_100kg;100 kg No.1
weapons/fr_200kg;200 kg No.1
weapons/fr_500kg_3_1;500 kg No.2
weapons/fr_250_samp_type_25;250 kg SAMP Type 25 bomb
weapons/fr_250_samp_type_25/short;250 kg Type 25
weapons/fr_250_samp_type_25_default;250 kg SAMP Type 25 bomb
weapons/fr_250_samp_type_25_default/short;250 kg Type 25
weapons/fr_400_samp_type_21;400 kg SAMP Type 21 bomb
weapons/fr_400_samp_type_21/short;SAMP 400 kg Type 21
weapons/fr_250_samp_type_25_200;RETARD ALERT
weapons/fr_250_samp_type_25_200/short;RETARD ALERT
weapons/fr_400_samp_type_21_200;RETARD ALERT
weapons/fr_400_samp_type_21_200/short;RETARD ALERT
weapons/it_800kg_gp;800 kg GP 800 bomb
weapons/fr_75kg_g2_navale;75 kg G2 Navale bomb
weapons/fr_75kg_g2_navale/short;G2 Navale
weapons/fr_150kg_i2_navale;150 kg I2 Navale bomb
weapons/fr_150kg_i2_navale/short;I2 Navale
weapons/it_250kg_gp;250 kg GP 250 bomb
weapons/it_150kg_ap;150 kg A.P 160 bomb
weapons/it_100kg_m_vert;100 kg SAP 100M bomb
weapons/it_100kg_m;100 kg SAP 100M bomb
weapons/it_100kg_t_vert;100 kg GP 100T bomb
weapons/it_100kg_t;100 kg GP 100T bomb
weapons/it_50kg_t;50 kg GP 50 bomb
weapons/it_50kg_t_vert;50 kg GP 50 bomb
weapons/it_500kg_gp;500 kg GP 500 bomb
weapons/it_160kg_ap;160 kg A.P 160 bomb
weapons/it_160kg_ap/short;A.P 160
weapons/it_250kg_gp_stuka;250 kg GP 250 bomb
weapons/it_250kg_gp_stuka/short;GP 250
weapons/it_500kg_gp_stuka;500 kg GP 500 bomb
weapons/it_500kg_gp_stuka/short;GP 500
weapons/it_630kg_ap;160 kg P.D 630 bomb
weapons/it_630kg_ap/short;P.D 630
weapons/nld_50kg;50 kg Vliegtuigbom bomb
weapons/nld_50kg/short;50 kg
weapons/nld_100kg;100 kg Vliegtuigbom bomb
weapons/nld_100kg/short;100 kg
weapons/nld_300kg;300 kg Vliegtuigbom bomb
weapons/nld_300kg/short;300 kg
weapons/nld_400kg;400 kg Vliegtuigbom bomb
weapons/nld_400kg/short;400 kg
weapons/jp_mod25mark2;250 kg Number 25 Model 2 GP(SAP) bomb
weapons/jp_mod50mark1;500 kg Number 50 Model 1 GP(SAP) bomb
weapons/jp_mod50mark2;500 kg Number 50 Model 2 GP(SAP) bomb
weapons/jp_mod80mark1;800 kg Number 80 Modification 1 ground bomb
weapons/jp_type92mod25;250 kg Army Type 92 GPHE bomb
weapons/jp_type92mod50;500 kg Army Type 92 GPHE bomb
weapons/jp_type94mod10;100 kg Army Type 94 GPHE bomb
weapons/jp_type94mod5;50 kg Army Type 94 GPHE bomb
weapons/jp_navy_type97mod6_60kg;60 kg Navy Type 97 Number 6 ground bomb
weapons/jp_navy_mod50mark1_500kg;500 kg Number Type 2 50 Model 1 GP(SAP) bomb
weapons/jp_type97mod6;60 kg Navy Type 97 Number 6 ground bomb
weapons/jp_type98mod25;250 kg Navy Type 98 Number 25 ground bomb
weapons/jp_type99mod25;250 kg Navy Type 99 Number 25 Model 1 SAP bomb
weapons/jp_type99mod80;800 kg Type 99 Number 80 Mark 5 bomb
weapons/jp_navy_mod25mark2_250kg;250 kg Navy Type Number 25 Model 2 bomb
weapons/jp_navy_mod50mark2_500kg;500 kg Navy Type Number 50 Model 2 bomb
weapons/jp_navy_mod80mark1_800kg;800 kg Number 80 Mod. 1 bomb
weapons/jp_navy_type99mod25_250kg;250 kg Navy Type 99 Number 25 bomb
weapons/jp_navy_type99mod80_800kg;800 kg Navy Type 99 Number 80 AP bomb
weapons/jp_navy_mod25mark2_250kg_default;250 kg Navy Type Number 25 Model 2 bomb
weapons/jp_navy_mod25mark2_250kg_default/short;250 kg
weapons/su_rds4;Nuclear bomb RDS-4
weapons/su_rds4/short;☢RDS-4
weapons/us_mk6;Nuclear bomb Mark 6
weapons/us_mk6/short;☢Mark 6
weapons/us_mk7;Nuclear bomb Mark 7
weapons/us_mk7/short;☢Mark 7
weapons/fr_an52;Nuclear bomb AN-52
weapons/fr_an52/short;☢AN-52
☢\tAN-52;☢\tAN-52
weapons/jp_ijnaf_type_3_number_150_1500kg_ap;1500 kg Navy Type 3 Number 150 AP bomb
weapons/jp_ijnaf_type_3_number_150_1500kg_ap/short;1500 kg
weapons/su_fab100;100 kg FAB-100sv (forged) bomb
weapons/su_fab_3000m_46;3000 kg FAB-3000M-46 bomb
weapons/su_fab_1500m_46;1500 kg FAB-1500M-46 bomb
weapons/su_fab_1000m_44;1000 kg FAB-1000M-44 bomb
weapons/su_fab_1000m_44/short;FAB-1000M-44
weapons/su_fab_1000m_43;1000 kg FAB-1000M-43 bomb
weapons/su_fab_1000m_43/short;FAB-1000M-43
weapons/su_fab_500m_44;500 kg FAB-500M-44 bomb
weapons/su_fab_500m_44/short;FAB-500M-44
weapons/su_fab_500m_43;500 kg FAB-500M-43 bomb
weapons/su_fab_500m_43/short;FAB-500M-43
weapons/su_fab_1500m_54;1500 kg FAB-1500M-54 bomb
weapons/su_fab_1500m_54/short;FAB-1500M-54
weapons/su_fab_3000m_54;3000 kg FAB-3000M-54 bomb
weapons/su_fab_3000m_54/short;FAB-3000M-54
weapons/us_special_weapon;Special weapon
weapons/us_special_weapon/short;Special weapon
weapons/su_zb_500;ZB-500 incendiary bomb
weapons/su_zb_500/short;ZB-500
weapons/su_zb_360;ZB-360 incendiary bomb
weapons/su_zb_360/short;ZB-360
weapons/us_blu27b;Napalm sticks to kids
weapons/us_blu27b/short;Napalm sticks to kids
weapons/us_blu_1;Napalm sticks to kids
weapons/us_blu_1/short;Napalm sticks to kids
weapons/br_binc_300;BINC-300 incendiary bomb
weapons/br_binc_300/short;BINC-300
weapons/sws_400kg_febb_napalmbombe;Napalm bleibt bei Kindern hängen
weapons/sws_400kg_febb_napalmbombe/short;Napalm bleibt bei Kindern hängen
weapons/us_500lb_mk77_mod2;Napalm sticks to kids
weapons/us_500lb_mk77_mod2/short;Napalm sticks to kids
weapons/us_500lb_mk77_mod4;Napalm sticks to kids
weapons/us_500lb_mk77_mod4/short;Napalm sticks to kids
weapons/de_flam_250;Flam C 250 incendiary bomb
weapons/de_flam_250/short;C 250
weapons/de_flam_500;Flam C 500 incendiary bomb
weapons/de_flam_500/short;C 500
weapons/fr_460l_secan_63;SECAN 63 incendiary bomb
weapons/fr_460l_secan_63/short;SECAN 63
weapons/il_380l_mk2_fire_bomb;Mk.2 incendiary bomb
weapons/il_380l_mk2_fire_bomb/short;Mk.2
weapons/it_250kg_napalm_aerea_559g1;Aerea 559G1 incendiary bomb
weapons/it_250kg_napalm_aerea_559g1/short;Aerea 559G1
weapons/sw_500kg_brandbomb_m58;500 kg Brandbomb m/58 incendiary bomb
weapons/sw_500kg_brandbomb_m58/short;m/58
weapons/us_250_lb_blu_10b;Napalm sticks to kids
weapons/us_250_lb_blu_10b/short;Napalm sticks to kids
weapons/us_500_lb_blu_23b;Napalm sticks to kids
weapons/us_500_lb_blu_23b/short;Napalm sticks to kids
weapons/us_750_lb_m116a2;M116A2 incendiary bomb
weapons/us_750_lb_m116a2/short;M116A2
weapons/us_750lb_mk_78_mod_2;Napalm sticks to kids
weapons/us_750lb_mk_78_mod_2/short;Napalm sticks to kids
weapons/us_750lb_mk77_mod0;Napalm sticks to kids
weapons/us_750lb_mk77_mod0/short;Napalm sticks to kids
weapons/us_1000_lb_mk_79_mod_0;Napalm sticks to kids
weapons/us_1000_lb_mk_79_mod_0/short;Napalm sticks to kids
weapons/su_fab_250m_44;250 kg FAB-250M-44 bomb
weapons/su_fab_250m_44/short;FAB-250M-44
weapons/su_fab_250m_43;250 kg FAB-250M-43 bomb
weapons/su_fab_250m_43/short;FAB-250M-43
weapons/su_fab_100m_43;100 kg FAB-100M-43 bomb
weapons/su_fab_100m_43/short;FAB-100M-43
weapons/su_fab_250m_46;250 kg FAB-250M-46 bomb
weapons/su_fab_250m_46/short;FAB-250M-46
weapons/su_fab_500m_46;500 kg FAB-500M-46 bomb
weapons/su_fab_500m_46/short;FAB-500M-46
weapons/su_fab1000;1000 kg FAB-1000 (welded) bomb
weapons/su_fab250;250 kg FAB-250sv bomb
weapons/su_fab50x;50 kg FAB-50sv bomb
weapons/su_fab50x/short;FAB-50sv
weapons/su_fab100x;100 kg FAB-100sv bomb
weapons/su_fab100x/short;FAB-100sv
weapons/su_fab250x;250 kg FAB-250sv bomb
weapons/su_fab250x/short;FAB-250sv
weapons/su_fab500x;500 kg FAB-500sv bomb
weapons/su_fab500x/short;FAB-500sv
weapons/su_fab1000x;1000 kg FAB-1000sv bomb
weapons/su_fab1000x/short;FAB-1000sv
weapons/su_fab500_m54;500 kg FAB-500M-54 bomb
weapons/su_fab500_m54/short;FAB-500M-54
weapons/su_fab250_m54;250 kg FAB-250M-54 bomb
weapons/su_fab250_m54/short;FAB-250M-54
weapons/su_fab250_270;250 kg OFAB-250-270 bomb
weapons/su_fab250_270/short;OFAB-250-270
weapons/su_fab_250m_62;250 kg FAB-250M-62 bomb
weapons/su_fab_250m_62/short;FAB-250M-62
weapons/su_brab_250_ap;250 kg BRAB-250 armor-piercing bomb
weapons/su_brab_250_ap/short;BRAB-250
weapons/su_brab_500m43_ap;500 kg BRAB-500 armor-piercing bomb
weapons/su_brab_500m43_ap/short;BRAB-500
weapons/su_brab_1000m43_ap;1000 kg BRAB-1000 armor-piercing bomb
weapons/su_brab_1000m43_ap/short;BRAB-1000
weapons/su_fab_500m_62t;500 kg FAB-500M-62 bomb
weapons/su_fab_500m_62t/short;FAB-500M-62
weapons/su_fab500_m54_china;500 kg FAB-500M-54 bomb
weapons/su_fab500_m54_china/short;FAB-500M-54
weapons/su_ofab250_olive;250 kg Type 250-2 bomb
weapons/su_ofab250_olive/short;Type 250-2
weapons/su_ofab100_120;100 kg OFAB-100 bomb
weapons/su_ofab100_120/short;OFAB-100
weapons/su_ofab250;250 kg OFAB-250sv bomb
weapons/su_ao_25m_1;25 kg AO-25M-1 bomb
weapons/su_brab_220_1930_ap;220 kg BRAB-220 (1930) armor-piercing bomb
weapons/su_brab_220_1930_ap/short;BRAB-220 (1930)
weapons/su_brab_500_1938_ap;500 kg BRAB-500 (1938) armor-piercing bomb
weapons/su_brab_500_1938_ap/short;BRAB-500 (1938)
weapons/su_brab_1000_1938_ap;1000 kg BRAB-1000 (1938) armor-piercing bomb
weapons/su_brab_1000_1938_ap/short;BRAB-1000 (1938)
weapons/su_fab50;50 kg FAB-50sv (forged) bomb
weapons/su_fab50_default;50 kg FAB-50sv (forged) bomb
weapons/su_fab50_default/short;FAB-50
weapons/su_zab50fp;ZAB-50FP incendiary bomb
weapons/su_zab50fp/short;ZAB-50FP
weapons/su_fab500;500 kg FAB-500sv (welded) bomb
weapons/su_ofab250sh;RETARD ALERT
weapons/su_ofab250sh/short;RETARD ALERT
weapons/su_fab500sh;RETARD ALERT
weapons/su_fab500sh/short;RETARD ALERT
weapons/su_kab_50tv;50 kg KAB-50TV bomb
weapons/su_kab_50tv/short;KAB-50TV
weapons/su_kab_50s;50 kg KAB-50S bomb
weapons/su_kab_50s/short;KAB-50S
weapons/su_kab_50l;50 kg KAB-50L bomb
weapons/su_kab_50l/short;KAB-50L
weapons/su_kab_500kr;500 kg KAB-500Kr bomb
weapons/su_kab_500kr/short;KAB-500Kr
weapons/su_kab_500kr_m;500 kg KAB-500Kr-M bomb
weapons/su_kab_500kr_m/short;KAB-500Kr-M
weapons/su_kab_500kr_e;500 kg KAB-500Kr-E bomb
weapons/su_kab_500kr_e/short;KAB-500Kr-E
weapons/su_kab_500s;500 kg KAB-500S bomb
weapons/su_kab_500s/short;KAB-500S
weapons/su_kab_500l;500 kg KAB-500L bomb
weapons/su_kab_500l/short;KAB-500L
weapons/su_kab_500lg;500 kg KAB-500LG bomb
weapons/su_kab_500lg/short;KAB-500LG
weapons/su_kab_250lg;250 kg KAB-250LG bomb
weapons/su_kab_250lg/short;KAB-250LG
weapons/su_kab_1500kr;1500 kg KAB-1500Kr bomb
weapons/su_kab_1500kr/short;KAB-1500Kr
weapons/su_upab_500b;500 kg UPAB-500B bomb
weapons/su_upab_500b/short;UPAB-500B
weapons/su_upab_1500b;1500 kg UPAB-1500B bomb
weapons/su_upab_1500b/short;UPAB-1500B
weapons/su_kab_1500l;1500 kg KAB-1500L bomb
weapons/su_kab_1500l/short;KAB-1500L
weapons/su_kab_1500lg;1500 kg KAB-1500LG bomb
weapons/su_kab_1500lg/short;KAB-1500LG
weapons/su_umpk_3000;3000 kg FAB-3000 UMPK bomb
weapons/su_umpk_3000/short;FAB-3000 UMPK
weapons/fr_bgl_400;BGL-400 guided bomb
weapons/fr_bgl_400/short;BGL-400
weapons/fr_bgl_1000;BGL-1000 guided bomb
weapons/fr_bgl_1000/short;BGL-1000
weapons/fr_aj_168;AJ.168 air-to-ground missiles
weapons/fr_aj_168/short;AJ.168
weapons/uk_pgm_500;PGM 500 guided bomb
weapons/uk_pgm_500/short;PGM 500
weapons/uk_pgm_2000;PGM 2000 guided bomb
weapons/uk_pgm_2000/short;PGM 2000
weapons/uk_pgm_500_iir;PGM 500/3 guided bomb
weapons/uk_pgm_500_iir/short;PGM 500/3
weapons/uk_pgm_2000_iir;PGM 2000/3 guided bomb
weapons/uk_pgm_2000_iir/short;PGM 2000/3
weapons/cn_ls_500j;LS-500J guided bomb
weapons/cn_ls_500j/short;LS-500J
weapons/cn_ls_1000j;GB-1000J guided bomb
weapons/cn_ls_1000j/short;GB-1000J
weapons/cn_ts_250;TS250 guided bomb
weapons/cn_ts_250/short;TS250
weapons/cn_ls_6_250;PL-6 250 guided bomb
weapons/cn_ls_6_250/short;LS-6 250
weapons/cn_ls_6_500;LS-6 500 guided bomb
weapons/cn_ls_6_500/short;LS-6 500
weapons/us_2000lb_agm_130a;AGM-130A guided bomb
weapons/us_2000lb_agm_130a/short;AGM-130A
weapons/us_gbu_12_paveway_2;very explosive cat
weapons/us_gbu_12_paveway_2/short;very explosive cat
weapons/us_gbu_49_paveway_2;GBU-49 Paveway II guided bomb
weapons/us_gbu_49_paveway_2/short;GBU-49 Paveway II
weapons/us_gbu_48_paveway_2;GBU-48 Paveway II guided bomb
